"gene_id","gene_name"
"thrL",NA
"thrA",NA
"thrB",NA
"thrC",NA
"satP",NA
"dnaK",NA
"ECs0024","ECs0024"
"espX1",NA
"rpsT",NA
"carA",NA
"carB",NA
"ECs5362","ECs5362"
"caiF",NA
"caiE",NA
"kefF",NA
"kefC",NA
"folA",NA
"ECs0052","ECs0052"
"rluA",NA
"rapA",NA
"araC",NA
"leuD",NA
"leuC",NA
"leuB",NA
"leuA",NA
"leuL",NA
"ilvI",NA
"ilvH",NA
"mraZ",NA
"aroP",NA
"pdhR",NA
"aceE",NA
"aceF",NA
"cueO",NA
"gcd",NA
"sfsA",NA
"yadS",NA
"yaeH",NA
"dapD",NA
"metQ",NA
"metI",NA
"metN",NA
"aspU",NA
"dkgB",NA
"yafC",NA
"yafT",NA
"ECs0214","ECs0214"
"ydcC",NA
"ivy",NA
"fadE",NA
"phoE",NA
"ECs0275","ECs0275"
"ECs0276","ECs0276"
"ECs0300","ECs0300"
"ECs0301","ECs0301"
"ECs0304","ECs0304"
"paoC",NA
"paoB",NA
"yagT",NA
"yagU",NA
"ykgL",NA
"ECs0338","ECs0338"
"rclA",NA
"ykgE",NA
"ykgF",NA
"betA",NA
"betB",NA
"betI",NA
"yahB",NA
"yahD",NA
"yahG",NA
"yahH",NA
"ECs5377","ECs5377"
"yahK",NA
"yahN",NA
"yahO",NA
"prpR",NA
"codB",NA
"codA",NA
"cynR",NA
"cynX",NA
"lacA",NA
"lacY",NA
"lacZ",NA
"mhpR",NA
"frmA",NA
"ECs0417","ECs0417"
"ECs0418","ECs0418"
"tauA",NA
"tauB",NA
"tauC",NA
"tauD",NA
"yaiY",NA
"iraP",NA
"psiF",NA
"yaiA",NA
"aroM",NA
"yaiE",NA
"ECs0443","ECs0443"
"proY",NA
"queA",NA
"tsx",NA
"yajI",NA
"ribE",NA
"thiL",NA
"pgpA",NA
"yajO",NA
"thiI",NA
"yajR",NA
"cyoE",NA
"cyoD",NA
"cyoC",NA
"cyoB",NA
"cyoA",NA
"ampG",NA
"bolA",NA
"mdlA",NA
"mdlB",NA
"glnK",NA
"amtB",NA
"ybaY",NA
"ybaZ",NA
"mscK",NA
"apt",NA
"htpG",NA
"gsk",NA
"copA",NA
"glsA",NA
"ybaT",NA
"ECs0540","ECs0540"
"ECs0541","ECs0541"
"ECs0546","ECs0546"
"ybbN",NA
"tesA",NA
"ybbA",NA
"ybbP",NA
"rhsD",NA
"ybbY",NA
"glxK",NA
"ybcF",NA
"purK",NA
"purE",NA
"sfmA",NA
"argU",NA
"envY",NA
"ybcH",NA
"ECs0600","ECs0600"
"nfrB",NA
"cusS",NA
"cusC",NA
"cusF",NA
"cusB",NA
"cusA",NA
"ybdK",NA
"cstA",NA
"ybdD",NA
"ybdH",NA
"ybdL",NA
"ybdM",NA
"ybdR",NA
"ybeM",NA
"lipA",NA
"mrdB",NA
"mrdA",NA
"rlmH",NA
"rsfS",NA
"ybeL",NA
"ybeQ",NA
"ybeR",NA
"rihA",NA
"gltL",NA
"gltK",NA
"gltJ",NA
"gltI",NA
"lnt",NA
"glnX",NA
"glnW",NA
"glnU",NA
"leuW",NA
"asnB",NA
"nagB",NA
"ybfE",NA
"ybgA",NA
"phr",NA
"ybgI",NA
"ybgJ",NA
"ybgK",NA
"gltA",NA
"sdhC",NA
"sdhD",NA
"sdhA",NA
"sdhB",NA
"sucA",NA
"sucB",NA
"sucC",NA
"sucD",NA
"ECs0758","ECs0758"
"cydA1",NA
"cydB",NA
"lysT",NA
"valT",NA
"lysW",NA
"valZ",NA
"lysY",NA
