"LL.1"	"LL.2"	"LL.3"	"MM.1"	"MM.2"	"MM.3"
"ECs_0001"	984	923	1093	3358	4635	7369
"ECs_0002"	1545	1213	1534	11810	11073	21334
"ECs_0003"	491	443	561	3364	3713	5451
"ECs_0004"	907	929	1240	7763	8857	12418
"ECs_0005"	212	217	306	514	476	615
"ECs_0006"	1350	1196	1402	2689	3106	3135
"ECs_0007"	281	228	254	508	439	712
"ECs_0008"	16214	14893	15525	16888	21095	25306
"ECs_0009"	962	930	1187	814	832	1169
"ECs_0010"	3371	3236	4092	1618	1860	3114
"ECs_0012"	53	54	58	61	72	100
"ECs_0013"	32	43	36	62	54	87
"ECs_0014"	16445	15797	17014	52960	56951	83230
"ECs_0015"	4783	5016	6050	10834	9071	12793
"ECs_0016"	2711	2572	3101	3332	4071	5563
"ECs_0017"	6049	5103	6516	9856	10380	16150
"ECs_0018"	1906	1592	1987	2935	2936	4808
"ECs_0019"	72	58	87	129	113	198
"ECs_0022"	81	75	93	81	92	121
"ECs_0023"	19	15	12	14	13	24
"ECs_0024"	55	58	58	22	33	44
"ECs_0025"	81	86	76	20	34	53
"ECs_0026"	74084	70602	87085	35536	38928	59802
"ECs_0028"	6075	5308	6445	5368	6484	7957
"ECs_0029"	17673	16831	20725	21222	22272	26415
"ECs_0030"	2065	2018	2434	2341	2478	2784
"ECs_0031"	1367	1550	1736	1865	1963	2174
"ECs_0032"	2514	2274	2646	2626	2486	3351
"ECs_0033"	609	566	733	660	617	877
"ECs_0034"	477	373	384	937	597	1545
"ECs_0035"	531	526	559	28470	26914	48103
"ECs_0036"	1073	1135	1294	66775	54878	85691
"ECs_5362"	1	2	1	130	125	318
"ECs_0037"	67	54	77	1040	979	2089
"ECs_0038"	30	26	32	129	126	245
"ECs_0039"	15	16	9	13	5	26
"ECs_0040"	184	188	187	263	254	415
"ECs_0041"	223	196	186	198	190	317
"ECs_0042"	279	242	329	224	210	272
"ECs_0043"	24	7	15	23	16	48
"ECs_0044"	32	40	56	42	47	68
"ECs_0045"	36	41	37	64	54	92
"ECs_0046"	42	36	41	56	53	74
"ECs_0047"	2	4	5	6	5	7
