target_id	length	eff_length	est_counts	tpm
BAB35501	3048	2849	201.008	0.498373
BAB38243	3051	2852	24392	60.4131
BAB38484	2148	1949	556	2.0151
BAA31758	876	677	290	3.02582
BAA31759	1758	1559	3050	13.8193
BAA31760	1506	1307	2228	12.0413
BAA31761	1224	1025	1650	11.3709
BAA31762	435	236	889	26.6087
BAA31763	555	356	1177	23.3539
BAA31764	348	149	146	6.9215
BAA31765	600	401	699	12.3131
BAA31766	978	779	1949	17.6729
BAA31767	849	650	2106	22.8865
BAA31768	513	314	1077	24.2281
BAA31769	717	518	255	3.47731
BAA31770	402	203	560	19.4861
BAA31771	342	143	1342	66.2903
BAA31772	822	623	1815	20.5789
BAA31773	492	293	37	0.892005
BAA31774	2997	2798	337	0.850777
BAA31775	2121	1922	206	0.75709
BAA31776	1440	1241	136	0.774106
BAA31777	285	86.0009	31	2.5462
BAA31778	741	542	2831.92	36.9076
BAA31779	318	119	544.077	32.2959
BAA31780	954	755	5324.47	49.8153
BAA31781	330	131	1641.53	88.5139
BAA31782	621	422	835	13.9768
BAA31783	684	485	36	0.524317
BAA31784	219	25.9389	1045	284.576
BAA31785	306	107	1292	85.2928
BAA31786	807	608	1819	21.1331
BAA31787	891	692	15160.5	154.754
BAA31788	327	128	499.582	27.5696
BAA31789	246	47.5399	191	28.3798
BAA31790	1167	968	5481	39.9961
BAA31791	972	773	4365	39.8876
BAA31792	1725	1526	5528	25.5886
BAA31793	903	704	1237	12.4117
BAA31794	306	107	24	1.58439
BAA31795	684	485	180	2.62159
BAA31796	555	356	153	3.03581
BAA31797	777	578	40.6362	0.496614
BAA31798	573	374	56.3638	1.06454
BAA31799	303	104	75	5.09403
BAA31800	423	224	131	4.13101
BAA31801	390	191	117	4.32699
BAA31802	231	34.449	72	14.7635
BAA31803	1362	1163	147	0.892835
BAA31804	564	365	150	2.9029
BAA31805	456	257	38	1.04444
BAA31806	453	254	253	7.03591
BAA31807	1959	1760	781	3.13453
BAA31808	435	236	102	3.05296
BAA31809	762	563	667	8.36856
BAA31810	159	7.91627	11791	10521.2
BAA31811	1974	1775	3947	15.7073
BAA31812	432	233	545	16.5224
BAA31813	360	161	541.41	23.7538
BAA31814	411	212	215	7.16368
BAA31815	9510	9311	2401	1.8215
BAA31816	273	74.0093	269.59	25.7307
BAA31817	504	305	250.086	5.79192
BAA31818	1416	1217	125	0.725526
BAA31819	747	548	301	3.87989
BAA31820	861	662	358	3.81996
BAA31821	561	362	205	4.00017
BAA31822	462	263	103	2.7664
BAA31823	339	140	124	6.25644
BAA31824	255	56.1701	6645	835.648
BAA31825	858	659	6002	64.3345
BAA31826	285	86.0009	1415	116.222
BAA31827	276	77.0053	1008	92.4641
BAA31828	207	19.5103	354	128.166
BAA31829	381	182	549.601	21.3309
BAA31830	777	578	859.352	10.5021
BAA31831	465	266	860.249	22.8442
BAA31832	2211	2012	2359	8.28197
BAA31833	342	143	313	15.4611
BAA31834	888	689	1235.39	12.6654
BAA31836	3903	3704	10596	20.2071
BAA31837	438	239	624	18.4425
BAA31838	1107	908	1743	13.5595
BAA31839	1722	1523	4335	20.1059
BAA31840	999	800	14952	132.021
BAA31757	2697	2498	4048	11.4467
BAA31754	324	125	1965	111.042
BAA31755	381	182	2196	85.2304
BAA31756	1041	842	6133	51.4511
BAB33424	84	3.8053	6927	12858.5
BAB33425	2463	2264	21462	66.9618
BAB33426	933	734	5969	57.4432
BAB33427	1287	1088	12630	81.9989
BAB33428	297	98.0001	309	22.2723
BAB33429	777	578	2934	35.8563
BAB33430	1431	1232	688	3.94467
BAB33431	954	755	25177	235.554
BAB33432	588	389	1181	21.4454
BAB33433	567	368	3139	60.2528
BAB33434	714	515	90	1.23444
BAB33436	405	206	64	2.19455
BAB33437	1917	1718	79802	328.113
BAB33438	1131	932	12423	94.1551
BAB33439	210	20.9285	3642	1229.24
BAB33440	1167	968	15989	116.675
BAB33441	900	701	4928	49.6576
BAB33445	2451	2252	125	0.39208
BAB33446	684	485	25	0.364109
BAB33447	534	335	44	0.927772
BAB33448	1422	1223	52	0.300338
BAB33449	264	65.044	49004	5321.79
BAB33451	942	743	8305	78.9558
BAB33452	2817	2618	26941	72.6905
BAB33453	495	296	2913	69.5156
BAB33454	450	251	2246	63.2076
BAB33455	951	752	3552	33.3648
BAB33456	915	716	838	8.26731
BAB33457	822	623	1523	17.2681
BAB33458	1149	950	45489	338.233
BAB33459	3222	3023	87219	203.801
BBE29392	219	25.9389	525	142.969
BAB33460	396	197	2047	73.3981
BAB33461	591	392	123	2.21642
BAB33462	786	587	24	0.288806
BAB33463	1554	1355	407	2.12172
BAB33464	1218	1019	301	2.08654
BAB33465	1143	944	268	2.00538
BAB33466	1515	1316	48	0.257643
BAB33467	771	572	68	0.839743
BAB33468	942	743	94	0.89366
BAB33469	1287	1088	75	0.486929
BAB33470	288	89.0004	9	0.714305
BAB33471	1332	1133	193	1.20326
BAB33472	531	332	282	5.99991
BAB33473	1863	1664	1639	6.95759
