target_id	length	eff_length	est_counts	tpm
BAB35501	3048	2849	150	0.428225
BAB38243	3051	2852	14187	40.4589
BAB38484	2148	1949	483	2.01562
BAA31758	876	677	311	3.73633
BAA31759	1758	1559	1404	7.32477
BAA31760	1506	1307	1093	6.8017
BAA31761	1224	1025	1107	8.78409
BAA31762	435	236	355	12.2346
BAA31763	555	356	490	11.1949
BAA31764	348	149	138	7.53297
BAA31765	600	401	306	6.20655
BAA31766	978	779	873	9.11486
BAA31767	849	650	1438	17.9936
BAA31768	513	314	588	15.2307
BAA31769	717	518	113	1.77428
BAA31770	402	203	278	11.1384
BAA31771	342	143	611	34.7519
BAA31772	822	623	1154	15.0658
BAA31773	492	293	16	0.444146
BAA31774	2997	2798	371	1.07845
BAA31775	2121	1922	163	0.689775
BAA31776	1440	1241	111	0.727486
BAA31777	285	86.0009	30	2.83721
BAA31778	741	542	2448.24	36.739
BAA31779	318	119	503.76	34.431
BAA31780	954	755	2785.16	30.0038
BAA31781	330	131	701.843	43.5754
BAA31782	621	422	299	5.76278
BAA31783	684	485	11	0.184469
BAA31784	219	25.9389	566	177.476
BAA31785	306	107	706	53.6654
BAA31786	807	608	1574	21.0559
BAA31787	891	692	8268.31	97.1816
BAA31788	327	128	275.365	17.4974
BAA31789	246	47.5399	146	24.9786
BAA31790	1167	968	1474	12.385
BAA31791	972	773	1273	13.3944
BAA31792	1725	1526	3614	19.2622
BAA31793	903	704	1088	12.5698
BAA31794	306	107	45	3.4206
BAA31795	684	485	142	2.38133
BAA31796	555	356	101	2.30752
BAA31797	777	578	60.264	0.848014
BAA31798	573	374	108.736	2.36469
BAA31799	303	104	60	4.69236
BAA31800	423	224	127	4.61136
BAA31801	390	191	459.942	19.5859
BAA31802	231	34.449	86	20.3047
BAA31803	1362	1163	147	1.02804
BAA31804	564	365	160	3.56533
BAA31805	456	257	38.0579	1.20444
BAA31806	453	254	165	5.28352
BAA31807	1959	1760	631	2.91602
BAA31808	435	236	140	4.82491
BAA31809	762	563	709	10.2426
BAA31810	159	7.91627	4777	4908.03
BAA31811	1974	1775	2211	10.1313
BAA31812	432	233	228	7.95888
BAA31813	360	161	434.438	21.947
BAA31814	411	212	127	4.87238
BAA31815	9510	9311	2380	2.079
BAA31816	273	74.0093	202.562	22.261
BAA31817	504	305	172.274	4.59403
BAA31818	1416	1217	124	0.828713
BAA31819	747	548	259	3.84408
BAA31820	861	662	172	2.11321
BAA31821	561	362	219	4.92049
BAA31822	462	263	83	2.56682
BAA31823	339	140	88	5.11243
BAA31824	255	56.1701	4351	630.024
BAA31825	858	659	9568	118.089
BAA31826	285	86.0009	768	72.6326
BAA31827	276	77.0053	558	58.9368
BAA31828	207	19.5103	285	118.81
BAA31829	381	182	583	26.0538
BAA31830	777	578	1144.25	16.1015
BAA31831	465	266	1131.84	34.6079
BAA31832	2211	2012	2004	8.10108
BAA31833	342	143	185	10.5223
BAA31834	888	689	1068.09	12.6084
BAA31836	3903	3704	6057	13.3002
BAA31837	438	239	414	14.0889
BAA31838	1107	908	1658	14.8516
BAA31839	1722	1523	3284	17.5379
BAA31840	999	800	11956	121.554
BAA31757	2697	2498	3148	10.2498
BAA31754	324	125	947	61.6188
BAA31755	381	182	1039	46.432
BAA31756	1041	842	3048	29.4426
BAB33424	84	3.8053	1000	2137.39
BAB33425	2463	2264	1536	5.51808
BAB33426	933	734	594	6.58209
BAB33427	1287	1088	1219	9.11272
BAB33428	297	98.0001	166	13.777
BAB33429	777	578	1323	18.6168
BAB33430	1431	1232	246	1.62404
BAB33431	954	755	15452	166.46
BAB33432	588	389	1178	24.6303
BAB33433	567	368	4094	90.4843
BAB33434	714	515	49	0.773859
BAB33436	405	206	31	1.22396
BAB33437	1917	1718	16112	76.278
BAB33438	1131	932	5955	51.9684
BAB33439	210	20.9285	2086	810.681
BAB33440	1167	968	6491	54.5393
BAB33441	900	701	2047	23.7505
BAB33445	2451	2252	93	0.335883
BAB33446	684	485	13	0.218009
BAB33447	534	335	59	1.43245
BAB33448	1422	1223	73	0.485478
BAB33449	264	65.044	72781	9100.89
BAB33451	942	743	6622	72.4892
BAB33452	2817	2618	21214	65.9062
BAB33453	495	296	2519	69.2165
BAB33454	450	251	1762	57.096
BAB33455	951	752	2775	30.0136
BAB33456	915	716	719	8.1675
BAB33457	822	623	371	4.8435
BAB33458	1149	950	527	4.51191
BAB33459	3222	3023	1310	3.52457
BBE29392	219	25.9389	3	0.940684
BAB33460	396	197	73	3.01391
BAB33461	591	392	30	0.622456
BAB33462	786	587	8	0.110847
BAB33463	1554	1355	185	1.11047
BAB33464	1218	1019	172	1.37286
BAB33465	1143	944	319	2.74848
BAB33466	1515	1316	15	0.0927061
BAB33467	771	572	53	0.753621
BAB33468	942	743	40	0.437869
BAB33469	1287	1088	42	0.313974
BAB33470	288	89.0004	6	0.548318
BAB33471	1332	1133	61	0.437898
BAB33472	531	332	99	2.42533
BAB33473	1863	1664	425	2.07735
BAB33474	591	392	6596	136.857
BAB33475	234	36.8813	1922	423.858
BAB33476	315	116	1343	94.1654
BAB33477	849	650	3579	44.7839
BAB33478	378	179	2476	112.505
BAB33479	822	623	6347	82.8617
BAB33480	990	791	4399	45.2325
BAB33481	1287	1088	14098	105.391
BAB33482	2355	2156	18508	69.8207
BAB33483	816	617	1248	16.4514
BAB33484	753	554	425	6.23954
BAB33485	660	461	3767	66.4612
BAB33486	2907	2708	16421	49.3201
BAB33487	2352	2153	1190	4.49548
BAB33488	696	497	96	1.57104
BAB33489	1503	1304	221	1.37844
BAB33490	1701	1502	122	0.660637
BAB33491	879	680	126	1.50707
BAB33492	765	566	1161	16.6836
BAB33493	699	500	732	11.9073
BAB33494	1611	1412	1220	7.02746
BAB33495	984	785	2990	30.9795
BAB33496	570	371	80	1.75384
BAB33497	1659	1460	844	4.70178
BAB33498	606	407	556	11.111
BAB33499	1401	1202	848	5.73805
BAB33500	1092	893	889	8.09699
BAB33501	1572	1373	1277	7.56473
BAB33502	87	3.88332	41	85.8724
BAB33503	945	746	75	0.817703
BAB33504	1725	1526	605	3.22459
BAB33505	492	293	210	5.82941
BAB33506	87	3.88332	2	4.1889
BAB33507	1005	806	1438	14.511
BAB33508	459	260	3916	122.502
BAB33509	942	743	6681	73.1351
BAB33510	366	167	1325	64.5316
BAB33511	1767	1568	3635	18.8552
BAB33512	1488	1289	2924	18.4501
BAB33513	1359	1160	2884	20.2214
BAB33514	1083	884	1307	12.0253
BAB33515	1317	1118	1499	10.9052
BAB33516	1245	1046	2437	18.9495
BAB33517	1068	869	2525	23.6328
BAB33518	1476	1277	3251	20.7061
BAB33519	921	722	2797	31.5086
BAB33520	831	632	2607	33.5504
BAB33521	1263	1064	2256	17.2453
BAB33522	1152	953	7169	61.1841
BAB33523	918	719	52886	598.253
BAB33524	513	314	2705	70.0666
BAB33525	2706	2507	14032	45.5238
BAB33526	399	200	563	22.8956
BAB33528	198	15.9266	418	213.465
BAB33529	744	545	1575	23.5048
BAB33530	621	422	793	15.2839
BAB33531	1044	845	3014	29.0108
BAB33533	1203	1004	409	3.31332
BAB33534	1386	1187	374	2.56268
BAB33535	441	242	40	1.34437
BAB33536	894	695	1921	22.481
BAB33537	552	353	468	10.7831
BAB33538	855	656	637	7.89785
BAB33539	1371	1172	1056	7.32841
BAB33540	765	566	23557	338.514
BAB33541	2664	2465	120546	397.749
BAB33542	1893	1694	64645	310.381
BAB33543	1425	1226	34906	231.57
BAB33544	1854	1655	725	3.56298
BAB33545	2598	2399	13467	45.6577
BAB33546	363	164	360	17.8538
BAB33547	795	596	5954	81.2523
BAB33548	867	668	9655	117.557
BAB33549	309	110	1885	139.377
BAB33550	1551	1352	539	3.24254
BAB33551	2391	2192	8172	30.3222
BAB33552	537	338	5382	129.509
BAB33553	663	464	12668	222.056
BAB33554	927	728	1484	16.5797
BAB33555	771	572	1004	14.2761
BAB33556	441	242	228	7.66289
BAB33557	1230	1031	1273	10.0425
BAB33558	381	182	3161	141.262
BAB33559	897	698	171	1.99257
BAB33560	852	653	6893	85.8555
BAB33561	795	596	2491	33.9939
BAB33562	1110	911	2111	18.847
BAB33563	591	392	166	3.44425
BAB33564	606	407	558	11.151
BAB33565	549	350	217	5.04272
BAB33566	2601	2402	455	1.54068
BAB33567	726	527	72	1.11121
BAB33568	597	398	35	0.71525
BAB33569	483	284	749	21.4505
BAB33570	1398	1199	15365	104.229
BAB33571	927	728	1882	21.0262
BAB33572	456	257	7790	246.534
BAB33573	705	506	320	5.14366
BAB33574	531	332	462	11.3182
BAB33575	2430	2231	2875	10.4812
BAB33576	2535	2336	8277	28.8186
BAB33577	2244	2045	1096	4.35904
BAB33578	798	599	316	4.29075
BAB33579	891	692	160	1.88056
BAB33580	1983	1784	293	1.33581
BAB33581	1281	1082	4471	33.6086
BAB33582	1422	1223	482	3.20548
BAB33583	345	146	1441	80.2757
BAB33584	624	425	1510	28.8976
BAB33585	801	602	1436	19.4013
BAB33586	699	500	3729	60.659
BAB33587	1518	1319	838	5.1674
BAB33588	1425	1226	5543	36.7729
BAB33589	1158	959	249	2.11181
BAB33590	387	188	990	42.8302
BAB33591	825	626	3157	41.0179
BAB33592	2673	2474	3185	10.4709
BAB33593	795	596	5823	79.4646
BAB33594	726	527	214615	3312.25
BAB33595	852	653	81886	1019.93
BAB33596	726	527	7634	117.819
BAB33597	558	359	15474	350.575
BAB33598	1197	998	1733	14.1235
BAB33599	759	560	18299	265.774
BAB33600	828	629	10505	135.837
BAB33601	1353	1154	19154	134.998
BAB33602	2433	2234	52624	191.59
BAB33603	486	287	26625	754.538
BAB33604	1026	827	22929	225.503
BAB33605	456	257	11551	365.561
BAB33606	789	590	20099	277.074
BAB33607	1149	950	8644	74.0056
BAB33608	597	398	2785	56.9135
BAB33609	3483	3284	18394	45.5561
BAB33610	960	761	13687	146.284
BAB33611	2142	1943	1037	4.34089
BAB33612	390	191	222	9.4535
BAB33613	1296	1097	1070	7.93323
BAB33614	261	62.0706	612	80.1934
BBE29393	201	17.0167	668	319.283
BAB33615	459	260	953	29.8121
BAB33616	411	212	536	20.5637
BAB33617	711	512	976	15.5043
BAB33618	825	626	171	2.22175
BAB33619	1719	1520	16736	89.5532
BAB33620	708	509	1561	24.9436
BAB33621	405	206	2327	91.8761
BAB33622	816	617	1987	26.193
BAB33623	654	455	656	11.7264
BAB33624	1032	833	990	9.66637
BAB33625	576	377	810	17.475
BAB33626	804	605	1106	14.8687
BAB33627	915	716	1426	16.1987
BAB33628	780	581	1565	21.9084
BAB33629	771	572	1446	20.5611
BAB33630	1359	1160	52018	364.728
BAB33631	756	557	1120	16.3545
BAB33632	723	524	1390	21.5753
BAB33633	468	269	1330	40.2136
BAB33634	741	542	2397	35.9701
